datetime,level_1,0,prop
2020-03-16,reseaux_sociaux,12.0,60.0
2020-03-16,virus,12.0,60.0
2020-03-16,traitement,1.0,5.0
2020-03-16,masque,1.0,5.0
2020-03-16,5g,,
2020-03-16,bilan,,
2020-03-16,complot,2.0,10.0
2020-03-16,experts,3.0,15.0
2020-03-16,politique,5.0,25.0
2020-03-16,laboratoire,2.0,10.0
2020-03-16,qanon,,
2020-03-16,entourage,3.0,15.0
2020-03-16,chine,3.0,15.0
2020-03-17,reseaux_sociaux,18.0,32.72727272727273
2020-03-17,virus,30.0,54.54545454545454
2020-03-17,traitement,8.0,14.545454545454545
2020-03-17,masque,2.0,3.6363636363636362
2020-03-17,5g,1.0,1.8181818181818181
2020-03-17,bilan,8.0,14.545454545454545
2020-03-17,complot,2.0,3.6363636363636362
2020-03-17,experts,4.0,7.2727272727272725
2020-03-17,politique,6.0,10.909090909090908
2020-03-17,laboratoire,2.0,3.6363636363636362
2020-03-17,qanon,1.0,1.8181818181818181
2020-03-17,entourage,11.0,20.0
2020-03-17,chine,6.0,10.909090909090908
2020-03-18,reseaux_sociaux,38.0,51.35135135135135
2020-03-18,virus,42.0,56.75675675675676
2020-03-18,traitement,1.0,1.3513513513513513
2020-03-18,masque,2.0,2.7027027027027026
2020-03-18,5g,,
2020-03-18,bilan,2.0,2.7027027027027026
2020-03-18,complot,6.0,8.108108108108109
2020-03-18,experts,1.0,1.3513513513513513
2020-03-18,politique,6.0,8.108108108108109
2020-03-18,laboratoire,4.0,5.405405405405405
2020-03-18,qanon,,
2020-03-18,entourage,5.0,6.756756756756757
2020-03-18,chine,3.0,4.054054054054054
2020-03-19,reseaux_sociaux,18.0,40.909090909090914
2020-03-19,virus,30.0,68.18181818181817
2020-03-19,traitement,7.0,15.909090909090908
2020-03-19,masque,2.0,4.545454545454546
2020-03-19,5g,2.0,4.545454545454546
2020-03-19,bilan,,
2020-03-19,complot,3.0,6.8181818181818175
2020-03-19,experts,2.0,4.545454545454546
2020-03-19,politique,4.0,9.090909090909092
2020-03-19,laboratoire,1.0,2.272727272727273
2020-03-19,qanon,,
2020-03-19,entourage,10.0,22.727272727272727
2020-03-19,chine,5.0,11.363636363636363
