Date,Thème,Nombre de courriels,Proportion par jour
2020-05-03,complot,5.0,14.71
2020-05-03,bilan,2.0,5.88
2020-05-03,QAnon,,
2020-05-04,complot,15.0,22.39
2020-05-04,bilan,6.0,8.96
2020-05-04,QAnon,1.0,1.49
2020-05-05,complot,8.0,16.0
2020-05-05,bilan,6.0,12.0
2020-05-05,QAnon,,
2020-05-06,complot,11.0,20.0
2020-05-06,bilan,3.0,5.45
2020-05-06,QAnon,,
2020-05-07,complot,7.0,17.07
2020-05-07,bilan,3.0,7.32
2020-05-07,QAnon,1.0,2.44
2020-05-08,complot,3.0,9.68
2020-05-08,bilan,5.0,16.13
2020-05-08,QAnon,,
2020-05-09,complot,2.0,7.41
2020-05-09,bilan,1.0,3.7
2020-05-09,QAnon,2.0,7.41
2020-05-10,complot,7.0,15.91
2020-05-10,bilan,3.0,6.82
2020-05-10,QAnon,,
2020-05-11,complot,5.0,17.24
2020-05-11,bilan,4.0,13.79
2020-05-11,QAnon,,
2020-05-12,complot,6.0,12.24
2020-05-12,bilan,13.0,26.53
2020-05-12,QAnon,,
2020-05-13,complot,1.0,2.56
2020-05-13,bilan,3.0,7.69
2020-05-13,QAnon,,
2020-05-14,complot,4.0,12.9
2020-05-14,bilan,4.0,12.9
2020-05-14,QAnon,,
2020-05-15,complot,3.0,10.34
2020-05-15,bilan,7.0,24.14
2020-05-15,QAnon,,
2020-05-16,complot,4.0,13.79
2020-05-16,bilan,2.0,6.9
2020-05-16,QAnon,,
2020-05-17,complot,4.0,9.09
2020-05-17,bilan,12.0,27.27
2020-05-17,QAnon,,
2020-05-18,complot,7.0,21.21
2020-05-18,bilan,6.0,18.18
2020-05-18,QAnon,1.0,3.03
2020-05-19,complot,1.0,3.7
2020-05-19,bilan,3.0,11.11
2020-05-19,QAnon,,
2020-05-20,complot,1.0,5.88
2020-05-20,bilan,2.0,11.76
2020-05-20,QAnon,,
2020-05-21,complot,5.0,23.81
2020-05-21,bilan,5.0,23.81
2020-05-21,QAnon,,
2020-05-22,complot,3.0,10.71
2020-05-22,bilan,6.0,21.43
2020-05-22,QAnon,,
2020-05-23,complot,2.0,11.11
2020-05-23,bilan,1.0,5.56
2020-05-23,QAnon,,
2020-05-24,complot,3.0,15.79
2020-05-24,bilan,4.0,21.05
2020-05-24,QAnon,,
2020-05-25,complot,,
2020-05-25,bilan,2.0,12.5
2020-05-25,QAnon,,
2020-05-26,complot,4.0,23.53
2020-05-26,bilan,,
2020-05-26,QAnon,1.0,5.88
2020-05-27,complot,2.0,10.53
2020-05-27,bilan,1.0,5.26
2020-05-27,QAnon,,
2020-05-28,complot,3.0,21.43
2020-05-28,bilan,5.0,35.71
2020-05-28,QAnon,,
2020-05-29,complot,1.0,5.56
2020-05-29,bilan,3.0,16.67
2020-05-29,QAnon,,
2020-05-30,complot,4.0,33.33
2020-05-30,bilan,,
2020-05-30,QAnon,,
2020-05-31,complot,5.0,29.41
2020-05-31,bilan,,
2020-05-31,QAnon,,
2020-06-01,complot,2.0,10.53
2020-06-01,bilan,1.0,5.26
2020-06-01,QAnon,,
2020-06-02,complot,4.0,14.81
2020-06-02,bilan,3.0,11.11
2020-06-02,QAnon,,
2020-06-03,complot,1.0,5.88
2020-06-03,bilan,4.0,23.53
2020-06-03,QAnon,,
2020-06-04,complot,3.0,14.29
2020-06-04,bilan,,
2020-06-04,QAnon,,
2020-06-05,complot,3.0,16.67
2020-06-05,bilan,1.0,5.56
2020-06-05,QAnon,,
2020-06-06,complot,3.0,30.0
2020-06-06,bilan,2.0,20.0
2020-06-06,QAnon,,
2020-06-07,complot,2.0,6.45
2020-06-07,bilan,2.0,6.45
2020-06-07,QAnon,,
2020-06-08,complot,5.0,10.2
2020-06-08,bilan,1.0,2.04
2020-06-08,QAnon,1.0,2.04
2020-06-09,complot,2.0,8.7
2020-06-09,bilan,1.0,4.35
2020-06-09,QAnon,1.0,4.35
2020-06-10,complot,4.0,21.05
2020-06-10,bilan,1.0,5.26
2020-06-10,QAnon,,
2020-06-11,complot,2.0,18.18
2020-06-11,bilan,2.0,18.18
2020-06-11,QAnon,,
2020-06-12,complot,7.0,50.0
2020-06-12,bilan,2.0,14.29
2020-06-12,QAnon,,
2020-06-13,complot,2.0,20.0
2020-06-13,bilan,,
2020-06-13,QAnon,,
2020-06-14,complot,1.0,8.33
2020-06-14,bilan,1.0,8.33
2020-06-14,QAnon,,
2020-06-15,complot,2.0,18.18
2020-06-15,bilan,,
2020-06-15,QAnon,,
2020-06-16,complot,2.0,22.22
2020-06-16,bilan,,
2020-06-16,QAnon,,
2020-06-17,complot,1.0,25.0
2020-06-17,bilan,,
2020-06-17,QAnon,1.0,25.0
2020-06-18,complot,,
2020-06-18,bilan,,
2020-06-18,QAnon,,
2020-06-19,complot,,
2020-06-19,bilan,3.0,30.0
2020-06-19,QAnon,,
2020-06-20,complot,1.0,9.09
2020-06-20,bilan,1.0,9.09
2020-06-20,QAnon,,
2020-06-21,complot,1.0,12.5
2020-06-21,bilan,2.0,25.0
2020-06-21,QAnon,,
2020-06-22,complot,3.0,23.08
2020-06-22,bilan,1.0,7.69
2020-06-22,QAnon,,
2020-06-23,complot,4.0,36.36
2020-06-23,bilan,,
2020-06-23,QAnon,,
2020-06-24,complot,1.0,25.0
2020-06-24,bilan,1.0,25.0
2020-06-24,QAnon,,
2020-06-25,complot,3.0,27.27
2020-06-25,bilan,1.0,9.09
2020-06-25,QAnon,,
2020-06-26,complot,1.0,16.67
2020-06-26,bilan,,
2020-06-26,QAnon,,
2020-06-27,complot,1.0,14.29
2020-06-27,bilan,1.0,14.29
2020-06-27,QAnon,,
2020-06-28,complot,1.0,14.29
2020-06-28,bilan,,
