,datetime,level_1,0
0,2020-03-01,reseaux_sociaux,33.33333333333333
1,2020-03-01,virus,66.66666666666666
2,2020-03-01,traitement,33.33333333333333
3,2020-03-01,masque,0.0
4,2020-03-01,5g,0.0
5,2020-03-01,bilan,33.33333333333333
6,2020-03-01,complot,33.33333333333333
7,2020-03-01,experts,0.0
8,2020-03-01,politique,0.0
9,2020-03-01,laboratoire,33.33333333333333
10,2020-03-01,qanon,0.0
11,2020-03-02,reseaux_sociaux,16.666666666666664
12,2020-03-02,virus,33.33333333333333
13,2020-03-02,traitement,0.0
14,2020-03-02,masque,0.0
15,2020-03-02,5g,0.0
16,2020-03-02,bilan,16.666666666666664
17,2020-03-02,complot,0.0
18,2020-03-02,experts,0.0
19,2020-03-02,politique,0.0
20,2020-03-02,laboratoire,16.666666666666664
21,2020-03-02,qanon,0.0
22,2020-03-03,reseaux_sociaux,100.0
23,2020-03-03,virus,0.0
24,2020-03-03,traitement,0.0
25,2020-03-03,masque,0.0
26,2020-03-03,5g,50.0
27,2020-03-03,bilan,0.0
28,2020-03-03,complot,0.0
29,2020-03-03,experts,0.0
30,2020-03-03,politique,50.0
31,2020-03-03,laboratoire,0.0
32,2020-03-03,qanon,0.0
33,2020-03-04,reseaux_sociaux,25.0
34,2020-03-04,virus,25.0
35,2020-03-04,traitement,25.0
36,2020-03-04,masque,0.0
37,2020-03-04,5g,0.0
38,2020-03-04,bilan,25.0
39,2020-03-04,complot,0.0
40,2020-03-04,experts,0.0
41,2020-03-04,politique,50.0
42,2020-03-04,laboratoire,0.0
43,2020-03-04,qanon,0.0
44,2020-03-05,reseaux_sociaux,33.33333333333333
45,2020-03-05,virus,0.0
46,2020-03-05,traitement,0.0
47,2020-03-05,masque,0.0
48,2020-03-05,5g,0.0
49,2020-03-05,bilan,0.0
50,2020-03-05,complot,0.0
51,2020-03-05,experts,0.0
52,2020-03-05,politique,66.66666666666666
53,2020-03-05,laboratoire,0.0
54,2020-03-05,qanon,0.0
55,2020-03-06,reseaux_sociaux,100.0
56,2020-03-06,virus,0.0
57,2020-03-06,traitement,0.0
58,2020-03-06,masque,0.0
59,2020-03-06,5g,0.0
60,2020-03-06,bilan,0.0
61,2020-03-06,complot,0.0
62,2020-03-06,experts,0.0
63,2020-03-06,politique,0.0
64,2020-03-06,laboratoire,0.0
65,2020-03-06,qanon,0.0
66,2020-03-07,reseaux_sociaux,25.0
67,2020-03-07,virus,50.0
68,2020-03-07,traitement,0.0
69,2020-03-07,masque,25.0
70,2020-03-07,5g,0.0
71,2020-03-07,bilan,25.0
72,2020-03-07,complot,0.0
73,2020-03-07,experts,0.0
74,2020-03-07,politique,25.0
75,2020-03-07,laboratoire,0.0
76,2020-03-07,qanon,0.0
77,2020-03-08,reseaux_sociaux,25.0
78,2020-03-08,virus,75.0
79,2020-03-08,traitement,0.0
80,2020-03-08,masque,25.0
81,2020-03-08,5g,0.0
82,2020-03-08,bilan,25.0
83,2020-03-08,complot,0.0
84,2020-03-08,experts,0.0
85,2020-03-08,politique,50.0
86,2020-03-08,laboratoire,0.0
87,2020-03-08,qanon,0.0
88,2020-03-09,reseaux_sociaux,83.33333333333334
89,2020-03-09,virus,33.33333333333333
90,2020-03-09,traitement,0.0
91,2020-03-09,masque,16.666666666666664
92,2020-03-09,5g,0.0
93,2020-03-09,bilan,0.0
94,2020-03-09,complot,0.0
95,2020-03-09,experts,0.0
96,2020-03-09,politique,33.33333333333333
97,2020-03-09,laboratoire,0.0
98,2020-03-09,qanon,0.0
99,2020-03-10,reseaux_sociaux,42.857142857142854
100,2020-03-10,virus,14.285714285714285
101,2020-03-10,traitement,0.0
102,2020-03-10,masque,0.0
103,2020-03-10,5g,0.0
104,2020-03-10,bilan,0.0
105,2020-03-10,complot,14.285714285714285
106,2020-03-10,experts,0.0
107,2020-03-10,politique,0.0
108,2020-03-10,laboratoire,0.0
109,2020-03-10,qanon,0.0
110,2020-03-11,reseaux_sociaux,60.0
111,2020-03-11,virus,60.0
112,2020-03-11,traitement,0.0
113,2020-03-11,masque,0.0
114,2020-03-11,5g,0.0
115,2020-03-11,bilan,0.0
116,2020-03-11,complot,0.0
117,2020-03-11,experts,0.0
118,2020-03-11,politique,0.0
119,2020-03-11,laboratoire,0.0
120,2020-03-11,qanon,0.0
121,2020-03-12,reseaux_sociaux,50.0
122,2020-03-12,virus,50.0
123,2020-03-12,traitement,0.0
124,2020-03-12,masque,16.666666666666664
125,2020-03-12,5g,0.0
126,2020-03-12,bilan,0.0
127,2020-03-12,complot,0.0
128,2020-03-12,experts,0.0
129,2020-03-12,politique,0.0
130,2020-03-12,laboratoire,0.0
131,2020-03-12,qanon,0.0
132,2020-03-13,reseaux_sociaux,68.75
133,2020-03-13,virus,50.0
134,2020-03-13,traitement,6.25
135,2020-03-13,masque,18.75
136,2020-03-13,5g,0.0
137,2020-03-13,bilan,6.25
138,2020-03-13,complot,0.0
139,2020-03-13,experts,6.25
140,2020-03-13,politique,6.25
141,2020-03-13,laboratoire,0.0
142,2020-03-13,qanon,0.0
143,2020-03-14,reseaux_sociaux,28.57142857142857
144,2020-03-14,virus,57.14285714285714
145,2020-03-14,traitement,0.0
146,2020-03-14,masque,7.142857142857142
147,2020-03-14,5g,0.0
148,2020-03-14,bilan,0.0
149,2020-03-14,complot,0.0
150,2020-03-14,experts,0.0
151,2020-03-14,politique,7.142857142857142
152,2020-03-14,laboratoire,0.0
153,2020-03-14,qanon,0.0
154,2020-03-15,reseaux_sociaux,30.76923076923077
155,2020-03-15,virus,76.92307692307693
156,2020-03-15,traitement,23.076923076923077
157,2020-03-15,masque,7.6923076923076925
158,2020-03-15,5g,0.0
159,2020-03-15,bilan,7.6923076923076925
160,2020-03-15,complot,15.384615384615385
161,2020-03-15,experts,7.6923076923076925
162,2020-03-15,politique,0.0
163,2020-03-15,laboratoire,0.0
164,2020-03-15,qanon,0.0
165,2020-03-16,reseaux_sociaux,60.0
166,2020-03-16,virus,60.0
167,2020-03-16,traitement,5.0
168,2020-03-16,masque,5.0
169,2020-03-16,5g,0.0
170,2020-03-16,bilan,0.0
171,2020-03-16,complot,10.0
172,2020-03-16,experts,15.0
173,2020-03-16,politique,25.0
174,2020-03-16,laboratoire,10.0
175,2020-03-16,qanon,0.0
176,2020-03-17,reseaux_sociaux,32.72727272727273
177,2020-03-17,virus,54.54545454545454
178,2020-03-17,traitement,14.545454545454545
179,2020-03-17,masque,3.6363636363636362
180,2020-03-17,5g,1.8181818181818181
181,2020-03-17,bilan,14.545454545454545
182,2020-03-17,complot,3.6363636363636362
183,2020-03-17,experts,7.2727272727272725
184,2020-03-17,politique,10.909090909090908
185,2020-03-17,laboratoire,3.6363636363636362
186,2020-03-17,qanon,1.8181818181818181
187,2020-03-18,reseaux_sociaux,51.35135135135135
188,2020-03-18,virus,56.75675675675676
189,2020-03-18,traitement,1.3513513513513513
190,2020-03-18,masque,2.7027027027027026
191,2020-03-18,5g,0.0
192,2020-03-18,bilan,2.7027027027027026
193,2020-03-18,complot,8.108108108108109
194,2020-03-18,experts,1.3513513513513513
195,2020-03-18,politique,8.108108108108109
196,2020-03-18,laboratoire,5.405405405405405
197,2020-03-18,qanon,0.0
198,2020-03-19,reseaux_sociaux,40.909090909090914
199,2020-03-19,virus,68.18181818181817
200,2020-03-19,traitement,15.909090909090908
201,2020-03-19,masque,4.545454545454546
202,2020-03-19,5g,4.545454545454546
203,2020-03-19,bilan,0.0
204,2020-03-19,complot,6.8181818181818175
205,2020-03-19,experts,4.545454545454546
206,2020-03-19,politique,9.090909090909092
207,2020-03-19,laboratoire,2.272727272727273
208,2020-03-19,qanon,0.0
209,2020-03-20,reseaux_sociaux,33.33333333333333
210,2020-03-20,virus,61.111111111111114
211,2020-03-20,traitement,2.7777777777777777
212,2020-03-20,masque,0.0
213,2020-03-20,5g,2.7777777777777777
214,2020-03-20,bilan,2.7777777777777777
215,2020-03-20,complot,2.7777777777777777
216,2020-03-20,experts,2.7777777777777777
217,2020-03-20,politique,11.11111111111111
218,2020-03-20,laboratoire,5.555555555555555
219,2020-03-20,qanon,0.0
220,2020-03-21,reseaux_sociaux,46.15384615384615
221,2020-03-21,virus,64.1025641025641
222,2020-03-21,traitement,7.6923076923076925
223,2020-03-21,masque,0.0
224,2020-03-21,5g,0.0
225,2020-03-21,bilan,5.128205128205128
226,2020-03-21,complot,0.0
227,2020-03-21,experts,0.0
228,2020-03-21,politique,17.94871794871795
229,2020-03-21,laboratoire,5.128205128205128
230,2020-03-21,qanon,0.0
231,2020-03-22,reseaux_sociaux,46.93877551020408
232,2020-03-22,virus,53.06122448979592
233,2020-03-22,traitement,4.081632653061225
234,2020-03-22,masque,2.0408163265306123
235,2020-03-22,5g,2.0408163265306123
236,2020-03-22,bilan,4.081632653061225
237,2020-03-22,complot,4.081632653061225
238,2020-03-22,experts,4.081632653061225
239,2020-03-22,politique,14.285714285714285
240,2020-03-22,laboratoire,0.0
241,2020-03-22,qanon,0.0
242,2020-03-23,reseaux_sociaux,52.72727272727272
243,2020-03-23,virus,54.54545454545454
244,2020-03-23,traitement,3.6363636363636362
245,2020-03-23,masque,1.8181818181818181
246,2020-03-23,5g,0.0
247,2020-03-23,bilan,3.6363636363636362
248,2020-03-23,complot,7.2727272727272725
249,2020-03-23,experts,5.454545454545454
250,2020-03-23,politique,14.545454545454545
251,2020-03-23,laboratoire,0.0
252,2020-03-23,qanon,0.0
253,2020-03-24,reseaux_sociaux,27.659574468085108
254,2020-03-24,virus,57.446808510638306
255,2020-03-24,traitement,8.51063829787234
256,2020-03-24,masque,10.638297872340425
257,2020-03-24,5g,0.0
258,2020-03-24,bilan,8.51063829787234
259,2020-03-24,complot,8.51063829787234
260,2020-03-24,experts,6.382978723404255
261,2020-03-24,politique,14.893617021276595
262,2020-03-24,laboratoire,2.127659574468085
263,2020-03-24,qanon,0.0
264,2020-03-25,reseaux_sociaux,48.837209302325576
265,2020-03-25,virus,41.86046511627907
266,2020-03-25,traitement,4.651162790697675
267,2020-03-25,masque,2.3255813953488373
268,2020-03-25,5g,2.3255813953488373
269,2020-03-25,bilan,9.30232558139535
270,2020-03-25,complot,11.627906976744185
271,2020-03-25,experts,4.651162790697675
272,2020-03-25,politique,13.953488372093023
273,2020-03-25,laboratoire,2.3255813953488373
274,2020-03-25,qanon,0.0
275,2020-03-26,reseaux_sociaux,51.31578947368421
276,2020-03-26,virus,43.42105263157895
277,2020-03-26,traitement,6.578947368421052
278,2020-03-26,masque,1.3157894736842104
279,2020-03-26,5g,0.0
280,2020-03-26,bilan,3.9473684210526314
281,2020-03-26,complot,3.9473684210526314
282,2020-03-26,experts,5.263157894736842
283,2020-03-26,politique,9.210526315789473
284,2020-03-26,laboratoire,1.3157894736842104
285,2020-03-26,qanon,1.3157894736842104
286,2020-03-27,reseaux_sociaux,64.40677966101694
287,2020-03-27,virus,40.67796610169492
288,2020-03-27,traitement,7.627118644067797
289,2020-03-27,masque,0.847457627118644
290,2020-03-27,5g,1.694915254237288
291,2020-03-27,bilan,3.389830508474576
292,2020-03-27,complot,4.23728813559322
293,2020-03-27,experts,11.016949152542372
294,2020-03-27,politique,8.47457627118644
295,2020-03-27,laboratoire,1.694915254237288
296,2020-03-27,qanon,1.694915254237288
297,2020-03-28,reseaux_sociaux,64.39393939393939
298,2020-03-28,virus,41.66666666666667
299,2020-03-28,traitement,11.363636363636363
300,2020-03-28,masque,2.272727272727273
301,2020-03-28,5g,0.0
302,2020-03-28,bilan,5.303030303030303
303,2020-03-28,complot,4.545454545454546
304,2020-03-28,experts,18.181818181818183
305,2020-03-28,politique,5.303030303030303
306,2020-03-28,laboratoire,2.272727272727273
307,2020-03-28,qanon,0.0
308,2020-03-29,reseaux_sociaux,50.476190476190474
309,2020-03-29,virus,42.857142857142854
310,2020-03-29,traitement,8.571428571428571
311,2020-03-29,masque,1.9047619047619049
312,2020-03-29,5g,0.0
313,2020-03-29,bilan,10.476190476190476
314,2020-03-29,complot,5.714285714285714
315,2020-03-29,experts,7.6190476190476195
316,2020-03-29,politique,6.666666666666667
317,2020-03-29,laboratoire,1.9047619047619049
318,2020-03-29,qanon,0.0
319,2020-03-30,reseaux_sociaux,46.34146341463415
320,2020-03-30,virus,56.09756097560976
321,2020-03-30,traitement,6.097560975609756
322,2020-03-30,masque,2.4390243902439024
323,2020-03-30,5g,0.0
324,2020-03-30,bilan,9.75609756097561
325,2020-03-30,complot,4.878048780487805
326,2020-03-30,experts,2.4390243902439024
327,2020-03-30,politique,9.75609756097561
328,2020-03-30,laboratoire,3.6585365853658534
329,2020-03-30,qanon,1.2195121951219512
330,2020-03-31,reseaux_sociaux,51.64835164835166
331,2020-03-31,virus,48.35164835164835
332,2020-03-31,traitement,7.6923076923076925
333,2020-03-31,masque,5.4945054945054945
334,2020-03-31,5g,0.0
335,2020-03-31,bilan,6.593406593406594
336,2020-03-31,complot,9.89010989010989
337,2020-03-31,experts,5.4945054945054945
338,2020-03-31,politique,7.6923076923076925
339,2020-03-31,laboratoire,1.098901098901099
340,2020-03-31,qanon,0.0
341,2020-04-01,reseaux_sociaux,46.96969696969697
342,2020-04-01,virus,46.96969696969697
343,2020-04-01,traitement,15.151515151515152
344,2020-04-01,masque,9.090909090909092
345,2020-04-01,5g,0.0
346,2020-04-01,bilan,10.606060606060606
347,2020-04-01,complot,12.121212121212121
348,2020-04-01,experts,6.0606060606060606
349,2020-04-01,politique,13.636363636363635
350,2020-04-01,laboratoire,0.0
351,2020-04-01,qanon,1.5151515151515151
352,2020-04-02,reseaux_sociaux,57.377049180327866
353,2020-04-02,virus,34.42622950819672
354,2020-04-02,traitement,8.19672131147541
355,2020-04-02,masque,18.0327868852459
356,2020-04-02,5g,0.0
357,2020-04-02,bilan,6.557377049180328
358,2020-04-02,complot,13.114754098360656
359,2020-04-02,experts,3.278688524590164
360,2020-04-02,politique,9.836065573770492
361,2020-04-02,laboratoire,3.278688524590164
362,2020-04-02,qanon,3.278688524590164
363,2020-04-03,reseaux_sociaux,60.0
364,2020-04-03,virus,51.11111111111111
365,2020-04-03,traitement,7.777777777777778
366,2020-04-03,masque,7.777777777777778
367,2020-04-03,5g,0.0
368,2020-04-03,bilan,5.555555555555555
369,2020-04-03,complot,6.666666666666667
370,2020-04-03,experts,3.3333333333333335
371,2020-04-03,politique,10.0
372,2020-04-03,laboratoire,2.2222222222222223
373,2020-04-03,qanon,2.2222222222222223
374,2020-04-04,reseaux_sociaux,51.5625
375,2020-04-04,virus,40.625
376,2020-04-04,traitement,3.125
377,2020-04-04,masque,6.25
378,2020-04-04,5g,0.0
379,2020-04-04,bilan,1.5625
380,2020-04-04,complot,6.25
381,2020-04-04,experts,4.6875
382,2020-04-04,politique,9.375
383,2020-04-04,laboratoire,0.0
384,2020-04-04,qanon,1.5625
385,2020-04-05,reseaux_sociaux,63.46153846153846
386,2020-04-05,virus,44.230769230769226
387,2020-04-05,traitement,9.615384615384617
388,2020-04-05,masque,13.461538461538462
389,2020-04-05,5g,0.0
390,2020-04-05,bilan,1.9230769230769231
391,2020-04-05,complot,11.538461538461538
392,2020-04-05,experts,1.9230769230769231
393,2020-04-05,politique,11.538461538461538
394,2020-04-05,laboratoire,1.9230769230769231
395,2020-04-05,qanon,0.0
396,2020-04-06,reseaux_sociaux,52.38095238095239
397,2020-04-06,virus,42.857142857142854
398,2020-04-06,traitement,15.873015873015872
399,2020-04-06,masque,9.523809523809524
400,2020-04-06,5g,1.5873015873015872
401,2020-04-06,bilan,1.5873015873015872
402,2020-04-06,complot,4.761904761904762
403,2020-04-06,experts,1.5873015873015872
404,2020-04-06,politique,9.523809523809524
405,2020-04-06,laboratoire,3.1746031746031744
406,2020-04-06,qanon,0.0
407,2020-04-07,reseaux_sociaux,50.0
408,2020-04-07,virus,50.0
409,2020-04-07,traitement,7.352941176470589
410,2020-04-07,masque,7.352941176470589
411,2020-04-07,5g,2.941176470588235
412,2020-04-07,bilan,5.88235294117647
413,2020-04-07,complot,11.76470588235294
414,2020-04-07,experts,2.941176470588235
415,2020-04-07,politique,17.647058823529413
416,2020-04-07,laboratoire,1.4705882352941175
417,2020-04-07,qanon,0.0
418,2020-04-08,reseaux_sociaux,55.714285714285715
419,2020-04-08,virus,38.57142857142858
420,2020-04-08,traitement,5.714285714285714
421,2020-04-08,masque,2.857142857142857
422,2020-04-08,5g,0.0
423,2020-04-08,bilan,1.4285714285714286
424,2020-04-08,complot,8.571428571428571
425,2020-04-08,experts,0.0
426,2020-04-08,politique,7.142857142857142
427,2020-04-08,laboratoire,2.857142857142857
428,2020-04-08,qanon,0.0
429,2020-04-09,reseaux_sociaux,46.913580246913575
430,2020-04-09,virus,51.85185185185185
431,2020-04-09,traitement,13.580246913580247
432,2020-04-09,masque,2.4691358024691357
433,2020-04-09,5g,3.7037037037037033
434,2020-04-09,bilan,7.4074074074074066
435,2020-04-09,complot,8.641975308641975
436,2020-04-09,experts,3.7037037037037033
437,2020-04-09,politique,17.28395061728395
438,2020-04-09,laboratoire,2.4691358024691357
439,2020-04-09,qanon,2.4691358024691357
440,2020-04-10,reseaux_sociaux,50.0
441,2020-04-10,virus,59.61538461538461
442,2020-04-10,traitement,15.384615384615385
443,2020-04-10,masque,1.9230769230769231
444,2020-04-10,5g,0.0
445,2020-04-10,bilan,11.538461538461538
446,2020-04-10,complot,13.461538461538462
447,2020-04-10,experts,3.8461538461538463
448,2020-04-10,politique,7.6923076923076925
449,2020-04-10,laboratoire,3.8461538461538463
450,2020-04-10,qanon,0.0
451,2020-04-11,reseaux_sociaux,67.6056338028169
452,2020-04-11,virus,42.25352112676056
453,2020-04-11,traitement,7.042253521126761
454,2020-04-11,masque,4.225352112676056
455,2020-04-11,5g,0.0
456,2020-04-11,bilan,11.267605633802818
457,2020-04-11,complot,16.901408450704224
458,2020-04-11,experts,1.4084507042253522
459,2020-04-11,politique,7.042253521126761
460,2020-04-11,laboratoire,4.225352112676056
461,2020-04-11,qanon,0.0
462,2020-04-12,reseaux_sociaux,67.85714285714286
463,2020-04-12,virus,50.0
464,2020-04-12,traitement,12.5
465,2020-04-12,masque,0.0
466,2020-04-12,5g,1.7857142857142856
467,2020-04-12,bilan,7.142857142857142
468,2020-04-12,complot,7.142857142857142
469,2020-04-12,experts,0.0
470,2020-04-12,politique,10.714285714285714
471,2020-04-12,laboratoire,1.7857142857142856
472,2020-04-12,qanon,0.0
473,2020-04-13,reseaux_sociaux,56.41025641025641
