Date,Thème,Nombre de courriels,Proportion par jour
2020-04-27,laboratoire,4.0,7.14
2020-04-28,virus,30.0,54.55
2020-04-28,Chine,7.0,12.73
2020-04-28,laboratoire,4.0,7.27
2020-04-29,virus,35.0,51.47
2020-04-29,Chine,3.0,4.41
2020-04-29,laboratoire,2.0,2.94
2020-04-30,virus,19.0,32.76
2020-04-30,Chine,2.0,3.45
2020-04-30,laboratoire,,
2020-05-01,virus,23.0,46.94
2020-05-01,Chine,5.0,10.2
2020-05-01,laboratoire,1.0,2.04
2020-05-02,virus,9.0,56.25
2020-05-02,Chine,1.0,6.25
2020-05-02,laboratoire,,
2020-05-03,virus,15.0,44.12
2020-05-03,Chine,4.0,11.76
2020-05-03,laboratoire,2.0,5.88
2020-05-04,virus,29.0,43.28
2020-05-04,Chine,7.0,10.45
2020-05-04,laboratoire,6.0,8.96
2020-05-05,virus,20.0,40.0
2020-05-05,Chine,5.0,10.0
2020-05-05,laboratoire,,
2020-05-06,virus,26.0,47.27
2020-05-06,Chine,7.0,12.73
2020-05-06,laboratoire,,
2020-05-07,virus,19.0,46.34
2020-05-07,Chine,3.0,7.32
2020-05-07,laboratoire,3.0,7.32
2020-05-08,virus,19.0,61.29
2020-05-08,Chine,2.0,6.45
2020-05-08,laboratoire,1.0,3.23
2020-05-09,virus,17.0,62.96
2020-05-09,Chine,3.0,11.11
2020-05-09,laboratoire,3.0,11.11
2020-05-10,virus,11.0,25.0
2020-05-10,Chine,4.0,9.09
2020-05-10,laboratoire,1.0,2.27
2020-05-11,virus,12.0,41.38
2020-05-11,Chine,2.0,6.9
2020-05-11,laboratoire,,
2020-05-12,virus,27.0,55.1
2020-05-12,Chine,10.0,20.41
2020-05-12,laboratoire,3.0,6.12
2020-05-13,virus,17.0,43.59
2020-05-13,Chine,2.0,5.13
2020-05-13,laboratoire,2.0,5.13
2020-05-14,virus,9.0,29.03
2020-05-14,Chine,1.0,3.23
2020-05-14,laboratoire,,
2020-05-15,virus,15.0,51.72
2020-05-15,Chine,3.0,10.34
2020-05-15,laboratoire,1.0,3.45
2020-05-16,virus,8.0,27.59
2020-05-16,Chine,4.0,13.79
2020-05-16,laboratoire,,
2020-05-17,virus,17.0,38.64
2020-05-17,Chine,11.0,25.0
2020-05-17,laboratoire,2.0,4.55
2020-05-18,virus,17.0,51.52
2020-05-18,Chine,3.0,9.09
2020-05-18,laboratoire,1.0,3.03
2020-05-19,virus,9.0,33.33
2020-05-19,Chine,2.0,7.41
2020-05-19,laboratoire,,
2020-05-20,virus,3.0,17.65
2020-05-20,Chine,,
2020-05-20,laboratoire,,
2020-05-21,virus,12.0,57.14
2020-05-21,Chine,4.0,19.05
2020-05-21,laboratoire,1.0,4.76
2020-05-22,virus,18.0,64.29
2020-05-22,Chine,2.0,7.14
2020-05-22,laboratoire,,
2020-05-23,virus,7.0,38.89
2020-05-23,Chine,1.0,5.56
2020-05-23,laboratoire,1.0,5.56
2020-05-24,virus,9.0,47.37
2020-05-24,Chine,3.0,15.79
2020-05-24,laboratoire,,
2020-05-25,virus,7.0,43.75
2020-05-25,Chine,5.0,31.25
2020-05-25,laboratoire,1.0,6.25
2020-05-26,virus,6.0,35.29
2020-05-26,Chine,2.0,11.76
2020-05-26,laboratoire,,
2020-05-27,virus,5.0,26.32
2020-05-27,Chine,2.0,10.53
2020-05-27,laboratoire,,
2020-05-28,virus,7.0,50.0
2020-05-28,Chine,1.0,7.14
2020-05-28,laboratoire,,
2020-05-29,virus,10.0,55.56
2020-05-29,Chine,1.0,5.56
2020-05-29,laboratoire,,
2020-05-30,virus,1.0,8.33
2020-05-30,Chine,1.0,8.33
2020-05-30,laboratoire,,
2020-05-31,virus,5.0,29.41
2020-05-31,Chine,,
2020-05-31,laboratoire,1.0,5.88
2020-06-01,virus,6.0,31.58
2020-06-01,Chine,,
2020-06-01,laboratoire,,
2020-06-02,virus,4.0,14.81
2020-06-02,Chine,2.0,7.41
2020-06-02,laboratoire,,
2020-06-03,virus,4.0,23.53
2020-06-03,Chine,1.0,5.88
2020-06-03,laboratoire,,
2020-06-04,virus,8.0,38.1
2020-06-04,Chine,,
2020-06-04,laboratoire,,
2020-06-05,virus,4.0,22.22
2020-06-05,Chine,1.0,5.56
2020-06-05,laboratoire,,
2020-06-06,virus,4.0,40.0
2020-06-06,Chine,,
2020-06-06,laboratoire,,
2020-06-07,virus,7.0,22.58
2020-06-07,Chine,1.0,3.23
2020-06-07,laboratoire,,
2020-06-08,virus,17.0,34.69
2020-06-08,Chine,,
2020-06-08,laboratoire,,
2020-06-09,virus,8.0,34.78
2020-06-09,Chine,1.0,4.35
2020-06-09,laboratoire,,
2020-06-10,virus,7.0,36.84
2020-06-10,Chine,,
2020-06-10,laboratoire,,
2020-06-11,virus,5.0,45.45
2020-06-11,Chine,1.0,9.09
2020-06-11,laboratoire,,
2020-06-12,virus,6.0,42.86
2020-06-12,Chine,,
2020-06-12,laboratoire,,
2020-06-13,virus,5.0,50.0
2020-06-13,Chine,1.0,10.0
2020-06-13,laboratoire,,
2020-06-14,virus,1.0,8.33
2020-06-14,Chine,,
2020-06-14,laboratoire,,
2020-06-15,virus,2.0,18.18
2020-06-15,Chine,1.0,9.09
2020-06-15,laboratoire,,
2020-06-16,virus,4.0,44.44
2020-06-16,Chine,1.0,11.11
2020-06-16,laboratoire,,
2020-06-17,virus,2.0,50.0
2020-06-17,Chine,1.0,25.0
2020-06-17,laboratoire,,
2020-06-18,virus,1.0,25.0
2020-06-18,Chine,,
2020-06-18,laboratoire,,
2020-06-19,virus,4.0,40.0
2020-06-19,Chine,2.0,20.0
2020-06-19,laboratoire,,
2020-06-20,virus,5.0,45.45
2020-06-20,Chine,1.0,9.09
2020-06-20,laboratoire,,
2020-06-21,virus,5.0,62.5
2020-06-21,Chine,1.0,12.5
2020-06-21,laboratoire,,
2020-06-22,virus,2.0,15.38
2020-06-22,Chine,,
2020-06-22,laboratoire,,
2020-06-23,virus,4.0,36.36
2020-06-23,Chine,3.0,27.27
2020-06-23,laboratoire,,
2020-06-24,virus,2.0,50.0
2020-06-24,Chine,,
2020-06-24,laboratoire,,
2020-06-25,virus,4.0,36.36
2020-06-25,Chine,,
2020-06-25,laboratoire,1.0,9.09
2020-06-26,virus,3.0,50.0
2020-06-26,Chine,1.0,16.67
2020-06-26,laboratoire,,
2020-06-27,virus,3.0,42.86
2020-06-27,Chine,,
2020-06-27,laboratoire,,
2020-06-28,virus,1.0,14.29
2020-06-28,Chine,,
2020-06-28,laboratoire,,
2020-06-29,virus,3.0,27.27
2020-06-29,Chine,1.0,9.09
2020-06-29,laboratoire,,
2020-06-30,virus,5.0,41.67
2020-06-30,Chine,,
2020-06-30,laboratoire,,
2020-07-01,virus,2.0,33.33
