Date,Thème,Nombre de courriels,Proportion par jour
2020-05-14,réseaux sociaux,22.0,70.97
2020-05-15,entourage,3.0,10.34
2020-05-15,réseaux sociaux,10.0,34.48
2020-05-16,entourage,3.0,10.34
2020-05-16,réseaux sociaux,12.0,41.38
2020-05-17,entourage,2.0,4.55
2020-05-17,réseaux sociaux,27.0,61.36
2020-05-18,entourage,6.0,18.18
2020-05-18,réseaux sociaux,18.0,54.55
2020-05-19,entourage,8.0,29.63
2020-05-19,réseaux sociaux,13.0,48.15
2020-05-20,entourage,3.0,17.65
2020-05-20,réseaux sociaux,11.0,64.71
2020-05-21,entourage,6.0,28.57
2020-05-21,réseaux sociaux,13.0,61.9
2020-05-22,entourage,8.0,28.57
2020-05-22,réseaux sociaux,15.0,53.57
2020-05-23,entourage,2.0,11.11
2020-05-23,réseaux sociaux,10.0,55.56
2020-05-24,entourage,5.0,26.32
2020-05-24,réseaux sociaux,13.0,68.42
2020-05-25,entourage,,
2020-05-25,réseaux sociaux,8.0,50.0
2020-05-26,entourage,3.0,17.65
2020-05-26,réseaux sociaux,10.0,58.82
2020-05-27,entourage,3.0,15.79
2020-05-27,réseaux sociaux,11.0,57.89
2020-05-28,entourage,5.0,35.71
2020-05-28,réseaux sociaux,11.0,78.57
2020-05-29,entourage,2.0,11.11
2020-05-29,réseaux sociaux,7.0,38.89
2020-05-30,entourage,3.0,25.0
2020-05-30,réseaux sociaux,9.0,75.0
2020-05-31,entourage,2.0,11.76
2020-05-31,réseaux sociaux,6.0,35.29
2020-06-01,entourage,2.0,10.53
2020-06-01,réseaux sociaux,5.0,26.32
2020-06-02,entourage,6.0,22.22
2020-06-02,réseaux sociaux,13.0,48.15
2020-06-03,entourage,4.0,23.53
2020-06-03,réseaux sociaux,10.0,58.82
2020-06-04,entourage,3.0,14.29
2020-06-04,réseaux sociaux,11.0,52.38
2020-06-05,entourage,3.0,16.67
2020-06-05,réseaux sociaux,11.0,61.11
2020-06-06,entourage,4.0,40.0
2020-06-06,réseaux sociaux,5.0,50.0
2020-06-07,entourage,3.0,9.68
2020-06-07,réseaux sociaux,17.0,54.84
2020-06-08,entourage,10.0,20.41
2020-06-08,réseaux sociaux,30.0,61.22
2020-06-09,entourage,3.0,13.04
2020-06-09,réseaux sociaux,10.0,43.48
2020-06-10,entourage,6.0,31.58
2020-06-10,réseaux sociaux,12.0,63.16
2020-06-11,entourage,3.0,27.27
2020-06-11,réseaux sociaux,7.0,63.64
2020-06-12,entourage,,
2020-06-12,réseaux sociaux,9.0,64.29
2020-06-13,entourage,,
2020-06-13,réseaux sociaux,3.0,30.0
2020-06-14,entourage,,
2020-06-14,réseaux sociaux,6.0,50.0
2020-06-15,entourage,2.0,18.18
2020-06-15,réseaux sociaux,8.0,72.73
2020-06-16,entourage,1.0,11.11
2020-06-16,réseaux sociaux,3.0,33.33
2020-06-17,entourage,3.0,75.0
2020-06-17,réseaux sociaux,3.0,75.0
2020-06-18,entourage,2.0,50.0
2020-06-18,réseaux sociaux,1.0,25.0
2020-06-19,entourage,2.0,20.0
2020-06-19,réseaux sociaux,5.0,50.0
2020-06-20,entourage,2.0,18.18
2020-06-20,réseaux sociaux,5.0,45.45
2020-06-21,entourage,2.0,25.0
2020-06-21,réseaux sociaux,2.0,25.0
2020-06-22,entourage,1.0,7.69
2020-06-22,réseaux sociaux,7.0,53.85
2020-06-23,entourage,,
2020-06-23,réseaux sociaux,4.0,36.36
2020-06-24,entourage,2.0,50.0
2020-06-24,réseaux sociaux,3.0,75.0
2020-06-25,entourage,2.0,18.18
2020-06-25,réseaux sociaux,6.0,54.55
2020-06-26,entourage,2.0,33.33
2020-06-26,réseaux sociaux,2.0,33.33
2020-06-27,entourage,1.0,14.29
2020-06-27,réseaux sociaux,5.0,71.43
2020-06-28,entourage,2.0,28.57
2020-06-28,réseaux sociaux,6.0,85.71
2020-06-29,entourage,4.0,36.36
2020-06-29,réseaux sociaux,7.0,63.64
2020-06-30,entourage,2.0,16.67
2020-06-30,réseaux sociaux,9.0,75.0
2020-07-01,entourage,2.0,33.33
2020-07-01,réseaux sociaux,3.0,50.0
2020-07-02,entourage,2.0,25.0
2020-07-02,réseaux sociaux,4.0,50.0
2020-07-03,entourage,2.0,33.33
2020-07-03,réseaux sociaux,4.0,66.67
2020-07-04,entourage,1.0,20.0
2020-07-04,réseaux sociaux,4.0,80.0
2020-07-05,entourage,,
2020-07-05,réseaux sociaux,3.0,100.0
2020-07-06,entourage,,
2020-07-06,réseaux sociaux,3.0,37.5
2020-07-07,entourage,3.0,33.33
2020-07-07,réseaux sociaux,5.0,55.56
2020-07-08,entourage,2.0,25.0
2020-07-08,réseaux sociaux,4.0,50.0
2020-07-09,entourage,2.0,14.29
2020-07-09,réseaux sociaux,13.0,92.86
2020-07-10,entourage,6.0,50.0
2020-07-10,réseaux sociaux,9.0,75.0
2020-07-11,entourage,5.0,50.0
2020-07-11,réseaux sociaux,7.0,70.0
2020-07-12,entourage,2.0,15.38
2020-07-12,réseaux sociaux,8.0,61.54
2020-07-13,entourage,2.0,7.41
2020-07-13,réseaux sociaux,14.0,51.85
2020-07-14,entourage,5.0,25.0
2020-07-14,réseaux sociaux,12.0,60.0
2020-07-15,entourage,4.0,28.57
2020-07-15,réseaux sociaux,6.0,42.86
2020-07-16,entourage,4.0,21.05
2020-07-16,réseaux sociaux,12.0,63.16
2020-07-17,entourage,3.0,25.0
2020-07-17,réseaux sociaux,6.0,50.0
2020-07-18,entourage,1.0,10.0
2020-07-18,réseaux sociaux,9.0,90.0
2020-07-19,entourage,1.0,11.11
2020-07-19,réseaux sociaux,3.0,33.33
2020-07-20,entourage,4.0,33.33
2020-07-20,réseaux sociaux,8.0,66.67
2020-07-21,entourage,1.0,9.09
2020-07-21,réseaux sociaux,8.0,72.73
2020-07-22,entourage,1.0,4.55
2020-07-22,réseaux sociaux,17.0,77.27
2020-07-23,entourage,2.0,14.29
2020-07-23,réseaux sociaux,11.0,78.57
2020-07-24,entourage,1.0,14.29
2020-07-24,réseaux sociaux,3.0,42.86
2020-07-25,entourage,,
2020-07-25,réseaux sociaux,2.0,100.0
2020-07-26,entourage,1.0,16.67
2020-07-26,réseaux sociaux,4.0,66.67
2020-07-27,entourage,3.0,21.43
2020-07-27,réseaux sociaux,8.0,57.14
2020-07-28,entourage,3.0,14.29
2020-07-28,réseaux sociaux,18.0,85.71
2020-07-29,entourage,2.0,11.76
2020-07-29,réseaux sociaux,12.0,70.59
2020-07-30,entourage,3.0,15.79
2020-07-30,réseaux sociaux,12.0,63.16
2020-07-31,entourage,,
2020-07-31,réseaux sociaux,5.0,62.5
2020-08-01,entourage,1.0,25.0
2020-08-01,réseaux sociaux,3.0,75.0
2020-08-02,entourage,2.0,28.57
2020-08-02,réseaux sociaux,6.0,85.71
2020-08-03,entourage,3.0,30.0
2020-08-03,réseaux sociaux,6.0,60.0
2020-08-04,entourage,,
2020-08-04,réseaux sociaux,10.0,62.5
2020-08-05,entourage,2.0,20.0
2020-08-05,réseaux sociaux,8.0,80.0
2020-08-06,entourage,,
2020-08-06,réseaux sociaux,3.0,42.86
2020-08-07,entourage,,
2020-08-07,réseaux sociaux,,
2020-08-08,entourage,1.0,14.29
2020-08-08,réseaux sociaux,2.0,28.57
2020-08-09,entourage,1.0,25.0
2020-08-09,réseaux sociaux,2.0,50.0
2020-08-10,entourage,1.0,12.5
2020-08-10,réseaux sociaux,4.0,50.0
2020-08-11,entourage,1.0,12.5
2020-08-11,réseaux sociaux,3.0,37.5
2020-08-12,entourage,3.0,25.0
2020-08-12,réseaux sociaux,7.0,58.33
2020-08-13,entourage,1.0,12.5
2020-08-13,réseaux sociaux,3.0,37.5
2020-08-14,entourage,,
2020-08-14,réseaux sociaux,3.0,60.0
2020-08-15,entourage,,
2020-08-15,réseaux sociaux,4.0,80.0
2020-08-16,entourage,1.0,20.0
2020-08-16,réseaux sociaux,2.0,40.0
2020-08-17,entourage,1.0,33.33
2020-08-17,réseaux sociaux,1.0,33.33
2020-08-18,entourage,2.0,33.33
2020-08-18,réseaux sociaux,3.0,50.0
2020-08-19,entourage,2.0,28.57
2020-08-19,réseaux sociaux,4.0,57.14
2020-08-20,entourage,1.0,11.11
2020-08-20,réseaux sociaux,7.0,77.78
2020-08-21,entourage,1.0,11.11
